hello world!
I am running on Raspberry Pi !!!!


 idxCount = 370 
 charge/discharge patten changes at 210 cycle 

 idx, Predict, Observed, AE, SE, APE(%), PredictNorm, ObservedNorm 
    4, [701.1526, 312], [0.000000, 0.000000, 0.000000], 0.598421, 0.265810 
    4, [637.6967, 312], [0.000000, 0.000000, 0.000000], 0.544185, 0.265810 
    4, [608.5325, 312], [0.000000, 0.000000, 0.000000], 0.519259, 0.265810 
    4, [584.5926, 312], [0.000000, 0.000000, 0.000000], 0.498797, 0.265810 
    4, [556.0167, 312], [244.016676, 59544.138375, 78.210473], 0.474373, 0.265810 
    9, [700.5515, 307], [0.000000, 0.000000, 0.000000], 0.597907, 0.261540 
    9, [635.6443, 307], [0.000000, 0.000000, 0.000000], 0.542431, 0.261540 
    9, [607.9881, 307], [0.000000, 0.000000, 0.000000], 0.518793, 0.261540 
    9, [584.0738, 307], [0.000000, 0.000000, 0.000000], 0.498354, 0.261540 
    9, [555.3220, 307], [248.322019, 61663.825025, 80.886651], 0.473780, 0.261540 
   14, [698.5455, 302], [0.000000, 0.000000, 0.000000], 0.596193, 0.257260 
   14, [629.4795, 302], [0.000000, 0.000000, 0.000000], 0.537162, 0.257260 
   14, [608.7860, 302], [0.000000, 0.000000, 0.000000], 0.519475, 0.257260 
   14, [584.7074, 302], [0.000000, 0.000000, 0.000000], 0.498895, 0.257260 
   14, [555.4128, 302], [253.412800, 64218.047380, 83.911523], 0.473857, 0.257260 
   19, [701.2609, 297], [0.000000, 0.000000, 0.000000], 0.598514, 0.252990 
   19, [636.9904, 297], [0.000000, 0.000000, 0.000000], 0.543582, 0.252990 
   19, [608.1195, 297], [0.000000, 0.000000, 0.000000], 0.518906, 0.252990 
   19, [584.0953, 297], [0.000000, 0.000000, 0.000000], 0.498372, 0.252990 
   19, [555.1702, 297], [258.170162, 66651.832422, 86.925980], 0.473650, 0.252990 
   24, [698.6686, 292], [0.000000, 0.000000, 0.000000], 0.596298, 0.248720 
   24, [624.8309, 292], [0.000000, 0.000000, 0.000000], 0.533189, 0.248720 
   24, [614.2898, 292], [0.000000, 0.000000, 0.000000], 0.524179, 0.248720 
   24, [589.9911, 292], [0.000000, 0.000000, 0.000000], 0.503411, 0.248720 
   24, [560.5785, 292], [268.578485, 72134.402419, 91.978933], 0.478272, 0.248720 
   29, [717.7101, 287], [0.000000, 0.000000, 0.000000], 0.612573, 0.244440 
   29, [663.0393, 287], [0.000000, 0.000000, 0.000000], 0.565846, 0.244440 
   29, [616.0534, 287], [0.000000, 0.000000, 0.000000], 0.525687, 0.244440 
   29, [593.1971, 287], [0.000000, 0.000000, 0.000000], 0.506151, 0.244440 
   29, [566.4663, 287], [279.466300, 78101.412919, 97.375017], 0.483305, 0.244440 
   34, [700.7858, 282], [0.000000, 0.000000, 0.000000], 0.598108, 0.240170 
   34, [635.6901, 282], [0.000000, 0.000000, 0.000000], 0.542470, 0.240170 
   34, [606.5603, 282], [0.000000, 0.000000, 0.000000], 0.517573, 0.240170 
   34, [582.2973, 282], [0.000000, 0.000000, 0.000000], 0.496835, 0.240170 
   34, [552.9048, 282], [270.904811, 73389.416524, 96.065536], 0.471714, 0.240170 
   39, [700.5538, 277], [0.000000, 0.000000, 0.000000], 0.597909, 0.235900 
   39, [634.5619, 277], [0.000000, 0.000000, 0.000000], 0.541506, 0.235900 
   39, [605.7061, 277], [0.000000, 0.000000, 0.000000], 0.516843, 0.235900 
   39, [581.3683, 277], [0.000000, 0.000000, 0.000000], 0.496041, 0.235900 
   39, [551.8643, 277], [274.864255, 75550.358625, 99.228973], 0.470824, 0.235900 
